# snap, a, z
163,0.13558158451098,6.37563293427230
162,0.13416381946799,6.45357432402669
161,0.13276081910192,6.53234280087054
160,0.13137243213831,6.61194707080723
159,0.12999850871839,6.69239593483511
158,0.12863890050127,6.77369828335938
157,0.12729346048075,6.85586310736836
156,0.12596204317804,6.93889948725699
155,0.12464450446256,7.02281660400332
154,0.12334070156327,7.10762373916804
153,0.12205049316102,7.19333026930687
152,0.12077373930544,7.27994567155840
151,0.11951030134062,7.36747952923177
150,0.11826004207339,7.45594152063130
149,0.11702282561375,7.54534143023192
148,0.11579851745822,7.63568914309144
147,0.11458698426831,7.72699466161433
146,0.11338809417812,7.81926808319988
145,0.11220171664126,7.91251961141828
144,0.11102772229462,8.00675956718622
143,0.10986598310784,8.10199837759133
142,0.10871637231529,8.19824658147987
141,0.10757876448459,8.29551482386883
140,0.10645303532201,8.39381387270987
139,0.10533906181065,8.49315460771324
138,0.10423672220945,8.59354802034795
137,0.10314589599146,8.69500521942973
136,0.10206646378847,8.79753743670882
135,0.10099830751227,8.90115601569415
134,0.09994131018100,9.00587242841721
133,0.09889535603875,9.11169826425613
132,0.09786033044545,9.21864524111153
131,0.09683611998881,9.32672519423068
130,0.09582261237613,9.43595008738339
129,0.09481969643858,9.54633201286199
128,0.09382726213394,9.65788319148122
127,0.09284520054804,9.77061597257855
126,0.09187340389484,9.88454283401364
125,0.09091176542294,9.99967639334502
124,0.08996017951348,10.11602939665322
123,0.08901854163220,10.23361472412944
122,0.08808674824279,10.35244540125133
121,0.08716469694215,10.47253458201888
120,0.08625228632875,10.59389556571836
119,0.08534941608935,10.71654178574686
118,0.08445598687484,10.84048682637519
117,0.08357190054142,10.96574438922105
116,0.08269705944391,11.09232839383179
115,0.08183136746147,11.22025283239778
114,0.08097472924861,11.34953187592324
113,0.08012705050825,11.48017983511091
112,0.07928823759859,11.61221122182908
111,0.07845819859800,11.74564058147364
110,0.07763684177912,11.88048273324961
109,0.07682407664229,12.01675260812045
108,0.07601981362886,12.15446529351169
107,0.07522396402558,12.29363605007524
106,0.07443644009674,12.43428028933707
105,0.07365715498698,12.57641359046106
104,0.07288602275377,12.72005169466133
103,0.07212295833675,12.86521051079034
102,0.07136787752999,13.01190612092611
101,0.07062069704035,13.16015476919701
100,0.06988133440136,13.30997287854548
99,0.06914970797679,13.46137705072769
98,0.06842573704164,13.61438404954975
97,0.06770934164727,13.76901082880791
96,0.06700044270274,13.92527451552442
95,0.06629896194721,14.08319241553543
94,0.06560482187669,14.24278203025455
93,0.06491794584376,14.40406103432181
92,0.06423825798296,14.56704729236660
91,0.06356568321204,14.73175885900848
90,0.06290014721015,14.89821398444462
89,0.06224157644123,15.06643110886217
88,0.06158989813144,15.23642886802554
87,0.06094504024839,15.40822609886536
86,0.06030693154323,15.58184182830156
85,0.05967550148718,15.75729529000822
84,0.05905068027349,15.93460592441253
83,0.05843240116516,16.11379269137976
82,0.05782059141426,16.29487671330575
81,0.05721518250125,16.47787835821519
80,0.05661611308305,16.66281621158133
79,0.05602331423934,16.84971156343806
78,0.05543672044226,17.03858511149880
77,0.05485626684786,17.22945777140555
76,0.05428188918040,17.42235071584572
75,0.05371352393667,17.61728530749667
74,0.05315110826480,17.81428313814119
73,0.05259457990325,18.01336605101823
72,0.05204387735371,18.21455607935774
71,0.05149893966168,18.41787552461037
70,0.05095970654229,18.62334691174347
69,0.05042611831971,18.83099301159398
68,0.04989811601249,19.04083680734059
67,0.04937564109424,19.25290158949808
66,0.04885863580339,19.46721083298307
65,0.04834704291823,19.68378828652200
64,0.04784080582695,19.90265794470904
63,0.04733986850112,20.12384405918403
62,0.04684417550843,20.34737113304420
61,0.04635367197528,20.57326393760760
60,0.04586830361208,20.80154750123631
59,0.04538801668890,21.03224712051469
58,0.04491275804721,21.26538835465924
57,0.04444247507651,21.50099703669527
56,0.04397711571484,21.73909927345787
55,0.04351662844860,21.97972144559008
54,0.04306096229116,22.22289021871991
53,0.04261006680404,22.46863253228360
52,0.04216389206527,22.71697561629144
51,0.04172238867025,22.96794699132417
50,0.04128550774144,23.22157446295030
49,0.04085320089907,23.47788613848403
48,0.04042542028049,23.73691041581307
47,0.04000211870865,23.99867587722826
46,0.03958324892836,24.26321176439511
45,0.03916876475368,24.53054726868868
44,0.03875862027869,24.80071201734219
43,0.03835277008681,25.07373594492687
42,0.03795116923352,25.34964930452405
41,0.03755377324641,25.62848266772935
40,0.03716053811701,25.91026693023738
39,0.03677142029309,26.19503331743163
38,0.03638637667890,26.48281338438398
37,0.03600536462752,26.77363902144128
36,0.03562834194800,27.06754244863970
35,0.03525526687628,27.36455623805514
34,0.03488609809690,27.66471329703935
33,0.03452079471487,27.96804689057144
32,0.03415931627625,28.27459062449630
31,0.03380162274107,28.58437846787245
30,0.03344767449022,28.89744474738796
29,0.03309743231287,29.21382415853476
28,0.03275085741884,29.53355175442947
27,0.03240791126714,29.85666310787170
26,0.03206855618548,30.18319372460256
25,0.03173275442171,30.51317993737781
24,0.03140046878158,30.84665830805864
23,0.03107166245559,31.18366578966428
22,0.03074629901923,31.52423972636492
21,0.03042434243801,31.86841784790181
20,0.03010575704603,32.21623829193388
19,0.02979050755662,32.56773959286507
18,0.02947855905177,32.92296069301673
17,0.02916987698198,33.28194094263047
16,0.02886442716108,33.64472010545453
15,0.02856217351389,34.01134111918452
14,0.02826308941108,34.38183619827007
13,0.02796713494398,34.75625468976843
12,0.02767427964407,35.13463522307558
11,0.02738448578760,35.51702674850802
10,0.02709773060772,35.90345935150942
9,0.02681397806503,36.29398142918958
8,0.02653319670825,36.68863627687031
7,0.02625535548544,37.08746754750578
6,0.02598042355555,37.49051951989505
5,0.02570837047722,37.89783683046770
4,0.02543916611039,38.30946461297624
3,0.02517278062851,38.72544848173934
2,0.02490918451856,39.14583453163525
1,0.02464834857736,39.57066934369480
0,0.02439024390244,40.00000000000004
