# snap, a, z
177,1.00000000000000,0.00000000000000
176,0.99471998214722,0.00530803203583
175,0.98712003231049,0.01304805278778
174,0.97953003644943,0.02089774608612
173,0.97193008661270,0.02888059616089
172,0.96433997154236,0.03697872161865
171,0.95674997568130,0.04520511627197
170,0.94915002584457,0.05357420444489
169,0.94155997037888,0.06206727027893
168,0.93396997451782,0.07069826126099
167,0.92637008428574,0.07948219776154
166,0.91878002882004,0.08839976787567
165,0.91118997335434,0.09746599197388
164,0.90359002351761,0.10669660568237
163,0.89600008726120,0.11607134342194
162,0.88840001821518,0.12561905384064
161,0.88080996274948,0.13531863689423
160,0.87322002649307,0.14518678188324
159,0.86562007665634,0.15524125099182
158,0.85803002119064,0.16546034812927
157,0.85044002532959,0.17586183547974
156,0.84284001588821,0.18646478652954
155,0.83525002002716,0.19724631309509
154,0.82765001058578,0.20824015140533
153,0.82006001472473,0.21942293643951
152,0.81246995925903,0.23081469535828
151,0.80487000942230,0.24243664741516
150,0.79728001356125,0.25426447391510
149,0.78969001770020,0.26631963253021
148,0.78209000825882,0.27862524986267
147,0.77450001239777,0.29115557670593
146,0.76689994335175,0.30395102500916
145,0.75931000709534,0.31698513031006
144,0.75172001123428,0.33028256893158
143,0.74412006139755,0.34386920928955
142,0.73653000593185,0.35771799087524
141,0.72894001007080,0.37185502052307
140,0.72134000062943,0.38630878925323
139,0.71375000476837,0.40105080604553
138,0.70614999532700,0.41612970829010
137,0.69855999946594,0.43151628971100
136,0.69097000360489,0.44724082946777
135,0.68336999416351,0.46333611011505
134,0.67830997705460,0.47425222396851
133,0.67325001955032,0.48533225059509
132,0.66817998886108,0.49660277366638
131,0.66311997175217,0.50802278518677
130,0.65806001424789,0.51961827278137
129,0.65299999713898,0.53139352798462
128,0.64793002605438,0.54337656497955
127,0.64287000894547,0.55552446842194
126,0.63780999183655,0.56786501407623
125,0.63274997472763,0.58040308952332
124,0.62769001722336,0.59314310550690
123,0.62261998653412,0.60611617565155
122,0.61756002902985,0.61927580833435
121,0.61250001192093,0.63265299797058
120,0.60742998123169,0.64628028869629
119,0.60237002372742,0.66010916233063
118,0.59731000661850,0.67417252063751
117,0.59224998950958,0.68847620487213
116,0.58718997240067,0.70302641391754
115,0.58212000131607,0.71785891056061
114,0.57705998420715,0.73292207717896
113,0.57200002670288,0.74825167655945
112,0.56694000959396,0.76385509967804
111,0.56186997890472,0.77977120876312
110,0.55681002140045,0.79594469070435
109,0.55175000429153,0.81241500377655
108,0.54667997360229,0.82922375202179
107,0.54162001609802,0.84631288051605
106,0.53655999898911,0.86372447013855
105,0.53149998188019,0.88146758079529
104,0.52644002437592,0.89955163002014
103,0.52136999368668,0.91802370548248
102,0.51630997657776,0.93682098388672
101,0.51125001907349,0.95599019527435
100,0.50617998838425,0.97558188438416
99,0.50111997127533,0.99553012847900
98,0.49606001377106,1.01588511466980
97,0.49099996685982,1.03665995597839
96,0.48593997955322,1.05786728858948
95,0.48087000846863,1.07956409454346
94,0.47580999135971,1.10167932510376
93,0.47075000405312,1.12426972389221
92,0.46568998694420,1.14735126495361
91,0.46062001585960,1.17098689079285
90,0.45555999875069,1.19510054588318
89,0.45049998164177,1.21975588798523
88,0.44543001055717,1.24502158164978
87,0.44036999344826,1.27081775665283
86,0.43530997633934,1.29721355438232
85,0.43024998903275,1.32423019409180
84,0.42517998814583,1.35194516181946
83,0.42011997103691,1.38027238845825
82,0.41506001353264,1.40929007530212
81,0.40999999642372,1.43902444839478
80,0.40494003891945,1.46950149536133
79,0.39987000823021,1.50081276893616
78,0.39481002092361,1.53286385536194
77,0.38975000381470,1.56574726104736
76,0.38468998670578,1.59949588775635
75,0.37961998581886,1.63421320915222
74,0.37455999851227,1.66979932785034
73,0.36950001120567,1.70635986328125
72,0.36443001031876,1.74401116371155
71,0.35936999320984,1.78264737129211
70,0.35431000590324,1.82238721847534
69,0.34924998879433,1.86327862739563
68,0.34417998790741,1.90545654296875
67,0.33912000060081,1.94880867004395
66,0.33406001329422,1.99347400665283
65,0.32899999618530,2.03951382637024
64,0.32394000887871,2.08699131011963
63,0.31887000799179,2.13607406616211
62,0.31380999088287,2.18664169311523
61,0.30875000357628,2.23886632919312
60,0.30368998646736,2.29283165931702
59,0.29861998558044,2.34873771667480
58,0.29355999827385,2.40645861625671
57,0.28850001096725,2.46620440483093
56,0.28343001008034,2.52820777893066
55,0.27836999297142,2.59234118461609
54,0.27331000566483,2.65884876251221
53,0.26824998855591,2.72786593437195
52,0.26317998766899,2.79968094825745
51,0.25812000036240,2.87416696548462
50,0.25306001305580,2.95163178443909
49,0.24799999594688,3.03225803375244
48,0.24293999373913,3.11624288558960
47,0.23786999285221,3.20397710800171
46,0.23281000554562,3.29534816741943
45,0.22774998843670,3.39077949523926
44,0.22268000245094,3.49074888229370
43,0.21762000024319,3.59516572952271
42,0.21255999803543,3.70455408096313
41,0.20749999582767,3.81927728652954
40,0.20243999361992,3.93973541259766
39,0.19736997783184,4.06662654876709
38,0.19231000542641,4.19993734359741
37,0.18725001811981,4.34045362472534
36,0.18218000233173,4.48907661437988
35,0.17712000012398,4.64588975906372
34,0.17205999791622,4.81192636489868
33,0.16699999570847,4.98802423477173
32,0.16193999350071,5.17512702941895
31,0.15686999261379,5.37470531463623
30,0.15181000530720,5.58718109130859
29,0.14675000309944,5.81431007385254
28,0.14168000221252,6.05815935134888
27,0.13662000000477,6.31957244873047
26,0.13324999809265,6.50469064712524
25,0.12986999750137,6.70000791549683
24,0.12649999558926,6.90513849258423
23,0.12312000244856,7.12215709686279
