# # snap, a, z
150,1.0000000000000000,0.0000000000000000
149,0.9804000854492188,0.0199917554855347
148,0.9524000287055969,0.0499789714813232
147,0.9345999956130981,0.0699764490127563
146,0.9173999428749084,0.0900371074676514
145,0.8928999900817871,0.1199462413787842
144,0.8771999478340149,0.1399909257888794
143,0.8547000288963318,0.1700011491775513
142,0.8402999639511108,0.1900511980056763
141,0.8197000026702881,0.2199585437774658
140,0.8000000119209290,0.2500000000000000
139,0.7811999917030334,0.2800819873809814
138,0.7692000269889832,0.3000519275665283
137,0.7519000172615051,0.3299640417098999
136,0.7353000044822693,0.3599891662597656
135,0.7193999886512756,0.3900473117828369
134,0.6992999911308289,0.4300014972686768
133,0.6848999857902527,0.4600671529769897
132,0.6711000204086304,0.4900908470153809
131,0.6578999757766724,0.5199879407882690
130,0.6409999728202820,0.5600625276565552
129,0.6288999915122986,0.5900778770446777
128,0.6134999990463257,0.6299918889999390
127,0.6024000048637390,0.6600265502929688
126,0.5881999731063843,0.7001020908355713
125,0.5746999979019165,0.7400382757186890
124,0.5618000030517578,0.7799928188323975
123,0.5494999885559082,0.8198362588882446
122,0.5375999808311462,0.8601191043853760
121,0.5263000130653381,0.9000569581985474
120,0.5155000090599060,0.9398641586303711
119,0.5024999976158142,0.9900497198104858
118,0.4925999641418457,1.0300447940826416
117,0.4808000028133392,1.0798668861389160
116,0.4716999828815460,1.1199915409088135
115,0.4608000218868256,1.1701388359069824
114,0.4504999816417694,1.2197558879852295
113,0.4404999911785126,1.2701475620269775
112,0.4309999942779541,1.3201856613159180
111,0.4219000041484833,1.3702299594879150
110,0.4115000069141388,1.4301335811614990
109,0.4032000005245209,1.4801588058471680
108,0.3937000036239624,1.5400049686431885
107,0.3860999941825867,1.5900025367736816
106,0.3774000108242035,1.6497085094451904
105,0.3689999878406525,1.7100272178649902
104,0.3610000014305115,1.7700831890106201
103,0.3533999919891357,1.8296549320220947
102,0.3447999954223633,1.9002320766448975
101,0.3377999961376190,1.9603316783905029
100,0.3300000131130219,2.0303030014038086
99,0.3226000070571899,2.0998139381408691
98,0.3165000081062317,2.1595575809478760
97,0.3086000084877014,2.2404406070709229
96,0.3021000027656555,2.3101620674133301
95,0.2958999872207642,2.3795201778411865
94,0.2890000045299530,2.4602074623107910
93,0.2833000123500824,2.5298268795013428
92,0.2770000100135803,2.6101081371307373
91,0.2703000009059906,2.6995930671691895
90,0.2646000087261200,2.7792894840240479
89,0.2590999901294708,2.8595137596130371
88,0.2531999945640564,2.9494471549987793
87,0.2475000172853470,3.0404038429260254
86,0.2421000003814697,3.1305246353149414
85,0.2370000183582306,3.2194089889526367
84,0.2319999784231186,3.3103451728820801
83,0.2267999947071075,3.4091711044311523
82,0.2216999977827072,3.5106000900268555
81,0.2169000059366226,3.6104192733764648
80,0.2122999876737595,3.7103157043457031
79,0.2074999958276749,3.8192772865295410
78,0.2028000056743622,3.9309663772583008
77,0.1984000056982040,4.0403223037719727
76,0.1941999942064285,4.1493306159973145
75,0.1897999942302704,4.2687039375305176
74,0.1854999959468842,4.3908357620239258
73,0.1815000027418137,4.5096416473388672
72,0.1775999963283539,4.6306309700012207
71,0.1738999933004379,4.7504315376281738
70,0.1701000034809113,4.8788948059082031
69,0.1660999953746796,5.0204696655273438
68,0.1625999957323074,5.1500616073608398
67,0.1589999943971634,5.2893085479736328
66,0.1554999947547913,5.4308681488037109
65,0.1521999984979630,5.5703024864196777
64,0.1488000005483627,5.7204298973083496
63,0.1456000059843063,5.8681316375732422
62,0.1424999982118607,6.0175437927246094
61,0.1393000036478043,6.1787505149841309
60,0.1361999958753586,6.3421440124511719
59,0.1332000046968460,6.5075073242187500
58,0.1304000020027161,6.6687116622924805
57,0.1273999959230423,6.8492937088012695
56,0.1245000064373016,7.0321283340454102
55,0.1220000013709068,7.1967210769653320
54,0.1191999912261963,7.3892621994018555
53,0.1165999993681908,7.5763292312622070
52,0.1142000034451485,7.7565670013427734
51,0.1115999892354012,7.9605741500854492
50,0.1090999990701675,8.1659030914306641
49,0.1067000031471252,8.3720712661743164
48,0.1044000014662743,8.5785436630249023
47,0.1020999997854233,8.7943191528320312
46,0.0998999997973442,9.0100097656250000
45,0.0976599976420403,9.2396068572998047
44,0.0955099985003471,9.4701080322265625
43,0.0933699980378151,9.7100782394409180
42,0.0914100036025047,9.9397220611572266
41,0.0893699973821640,10.1894378662109375
40,0.0874100029468536,10.4403381347656250
39,0.0854699984192848,10.7000122070312500
38,0.0836099982261658,10.9602918624877930
37,0.0818300023674965,11.2204570770263672
36,0.0799999982118607,11.5000000000000000
35,0.0783099979162216,11.7697610855102539
34,0.0766299962997437,12.0497198104858398
33,0.0749099999666214,12.3493528366088867
32,0.0732100009918213,12.6593360900878906
31,0.0715800002217293,12.9703826904296875
30,0.0700799971818924,13.2694072723388672
